Ransomware dataset,,,,,,,,,
,,,,,,,,,
Company,Sector,Short description,Consequences,Ransom cost,Was ransom paid?,Date,Location,Group behind attack,Source
CarePointe ENT,healthcare,"an ear, nose, throat, sinus and hearing centre","encrypted the electronic health data which may have included information such has name, address, date of birth, social security, etc.",Not communicated,Not communicated,Aug-21,USA ,Not communicated,https://www.hipaajournal.com/48000-individuals-affected-by-ransomware-attack-on-carepointe-ent/
Coghlin Electrical Co,manufacturer,Electric utility manufacturer,all files were recovered without paying attackers,Not communicated,Not communicated,Aug-21,UK,Not communicated,https://eu.telegram.com/story/news/2021/07/30/ransomware-attack-hits-coghlin-electrical-worcester/5403019001/
Greenway Health ,Technology ,"vendor of health information technology including integrated electronic health record, practice management, and revenue cycle management solutions.",affected 400 client organizations using the vendor’s Intergy cloud-hosted platform.,Not communicated,Not communicated,Aug-21,USA,Not communicated,https://www.databreaches.net/greenway-health-investigating-claims-by-threat-actors-of-a-cyberattack/
Beaumont Health ,healthcare,private hospital care system part of the Circle Health Group,impacted 9 months after the Accellion data breach,Not communicated,Not communicated,Sep-21,USA,Not communicated,https://healthitsecurity.com/news/beaumont-health-latest-victim-of-accellion-data-breach
TTEC,Technology ,customer experience technology and services,some of the company’s data had been encrypted and business systems had been impacted.,Not communicated,Not communicated,Sep-21,USA,Not communicated,https://www.zdnet.com/article/ttec-hit-with-ransomware-attack-hampering-work-for-major-clients/
NEW Cooperative,food & beverage,a farmers feed and grain cooperative,"The cybercriminals claimed to have exfiltrated 1,000 GB of data which included source code, R&D results, sensitive employee information, financial documents, etc.",$5.9 - 11.8 million ,No,Sep-21,USA,BlackMatter,https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/new-cooperative-ransomware-attack-timeline-status-updates/
Marketron,IT,a business software solutions company that provides cloud-based revenue and traffic management tools for broadcast and media organizations,the FBI was also involved,Not communicated,Not communicated,Sep-21,USA,BlackMatter,https://www.bleepingcomputer.com/news/security/marketron-marketing-services-hit-by-blackmatter-ransomware/
Marcus & Millichap,real estate investment,publicly traded real estate investment firm ,hackers claimed that 500 GB of data had been stolen,Not communicated,Not communicated,Sep-21,USA,BlackMatter,https://www.techtarget.com/searchsecurity/news/252507058/Marcus-Millichap-hit-with-possible-BlackMatter-ransomware
Giant Group ,services provider,Payroll company ,its computer systems which pay thousands of umbrella company contractors each week had been hacked and all systems were offline ,Not communicated,Not communicated,Sep-21,UK,Not communicated,https://www.contractoruk.com/news/0015214giant_group_hacked_suspected_ransomware_attack.html
TiteLive,Technology ,provide software for book stores ,affected 130 Dutch bookstores who had their systems shut down,Not communicated,Not communicated,Sep-21,Belgium,Not communicated, https://www.techzine.eu/news/security/66366/ransomware-attack-disrupts-hundreds-of-bookstores-across-europe/
Horizon House ,healthcare,mental health provider ,"accessed personal data including names, addresses, Social Security numbers, driver’s license numbers, dates of birth, financial account information, medical claim information, etc.",Not communicated,Not communicated,Sep-21,USA ,Not communicated,https://www.databreaches.net/pa-horizon-house-notifying-patients-of-ransomware-attack-in-march/
CMA CGM,logistics,French carrier container line,"leak of data on limited customer information involving first and last names, employer, position, email address and phone number, second ransomware attack in a year",Not communicated ,Not communicated,Sep-21,France,Not communicated,https://splash247.com/cma-cgm-hit-by-another-cyber-attack/
Olympus,Technology ,leading manufacturer of optical and digital precision technology,"affecting its European, Middle East and Africa computer network",Not communicated,Not communicated,Sep-21,Europe,BlackMatter,https://techcrunch.com/2021/09/12/technology-giant-olympus-hit-by-blackmatter-ransomware/
pNetwork,finance,decentralized network of validators that verifies crypto-asset switches across blockchains,"hacked for 277 pBTC, a form of wrapped bitcoin, with losses worth over $12 million at current value. $1.5 million bounty for the safe return of the funds",$12 million,Not communicated,Sep-21,UK/Italy,Not communicated,https://cryptobriefing.com/12-4m-lost-defi-platform-pnetwork-suffers-exploit/
Sandhills Global ,Technology ,"privately held information processing firm that creates a wide range of products and services, ranging from well-known trade magazines and websites to hosted technology services."," hosted websites to become inaccessible, in this way disrupting their business operations.",Not communicated,Not communicated,Oct-21,USA,Conti,https://www.securiwiser.com/news/sandhills-global-hit-with-ransomware-by-conti-threat-group/
Weir Group ,engineering,Engineering and mining firm ,"no evidence that any personal or other sensitive data had been ""exfiltrated or encrypted""",Not communicated,Not communicated,Oct-21,UK,Not communicated,https://www.bbc.co.uk/news/uk-scotland-scotland-business-58801753
ReproSource Fertility Diagnostics,healthcare,leader in specialty fertility diagnostic services.,"determined the impacted data which varied by patient could include names, dates of birth, test reports, medical histories, and health insurance details.",Not communicated,Not communicated,Oct-21,USA,Not communicated,https://www.hipaajournal.com/350000-patients-of-reprosource-fertility-diagnostics-affected-by-ransomware-attack/
Lancaster Online,news,newspaper publisher ,locked files critical to the printing of their daily and weekly publications.,Not communicated,Not communicated,Oct-21,USA,Not communicated,https://eu.yorkdispatch.com/story/news/2021/10/13/lancaster-media-group-lnp-attacked-ransomware/8433839002/
The Sinclair Broadcast Group ,telecommunication,"a diversified media company and leading provider of local sports and news, its operations include 185 television stations affiliated with channels including Fox, ABC, CBS and NBC",data had been stolen during the attack.,Not communicated,Not communicated,Oct-21,USA,Not communicated,https://abcnews.go.com/Politics/sinclair-broadcast-group-hit-ransomware-attack/story?id=80646308
Ferrara Candy Co,food & beverage, a major candy and food company whose treats include Halloween staples like candy corn (parent company: ferrero),temporarily froze its production systems but confirmed that Halloween supplies had luckily shipped before the incident so shortages weren’t expected.,Not communicated,Not communicated,Oct-21,USA,Not communicated,https://www.zdnet.com/article/illinois-candy-giant-hit-with-ransomware-weeks-before-halloween/
National Rifle Association (NRA),organisation,a gun rights advocacy group ,their data was leaked on a site with screenshots of Excel spreadsheets containing US tax information and investments amounts,Not communicated,Not communicated,Oct-21,USA,Grief ,https://mashable.com/article/nra-admits-ransomware-hack
Schreiber Foods ,food & beverage,Multi-billion dollar dairy company,"impacted their systems, plants and distribution centers couldn't use those systems, which they need to run",$2.5 million,No,Oct-21,USA,Not communicated,https://www.zdnet.com/article/schreiber-foods-back-to-normal-after-ransomware-attack-shut-down-milk-plants/
Graff Diamonds,retail,celebrity favorite multinational jeweller ,"hackers have already leaked 69,000 confidential documents on the dark web, including files relating to Donald Trump, Oprah Winfrey, David Beckham and Sir Philip Green.",$7.5 Million Crypto ,Yes,Oct-21,UK,Conti,https://www.bloomberg.com/news/articles/2022-07-06/billionaire-s-jeweler-pays-7-5-million-crypto-ransom-to-hackers
OSF Healthcare ,healthcare,integrated health care network serving patients of all ages ran by the religious organisation the Sisters of the Third Order of St. Francis.,"ttackers accessed certain files on its system that related to patients of OSF HealthCare such as Names, contact information, dates of birth, Social Security numbers, driver’s license numbers, state/government ID, numbers, treatment information, diagnosis information, credit information",Not communicated,Not communicated,Oct-21,USA,Not communicated,https://www.hipaajournal.com/almost-54000-patients-affected-by-osf-healthcare-ransomware-attack/
JDC Healthcare ,healthcare,provides dental care services,"impacted over 1M patients and the data leaked included Clinical information Social Security numbers, Driver’s license numbers, Dates of birth, Health insurance information and Financial information",Not communicated,Not communicated,Oct-21,USA,Not communicated,https://www.hipaajournal.com/almost-54000-patients-affected-by-osf-healthcare-ransomware-attack/
Wiggin and Dana ,legal, full-service law firm with more than 160 attorneys,"the following types of information may have been present in the affected systems at the time of the incident: name, date of birth, Social Security number, financial account information, medical/diagnosis/treatment information, and/or government issued identification numbers.",Not communicated,Not communicated,Oct-21,USA,Not communicated,https://www.databreaches.net/ct-wiggin-and-dana-law-firm-discloses-ransomware-attack/
Italian Society of Authors and Publishers,organisation,"a society established for the collective management of authors' rights. This organization collects royalties for musicians, authors, artists, and publishers who own the copyright of certain works of art.","among the 2 GB of documents published in the TOR network there are passports, identity cards, health cards, telephone numbers, emails, personal addresses, IBAN codes of many Italian artists of entertainment, music, of the theater, many of which are famous not only in Italy.","$500,000",No,Oct-21,Italy,Everest,https://www.databreaches.net/siae-italian-society-of-authors-and-publishers-hit-by-ransomware-threat-actors-claim-they-were-in-the-network-for-6-months/
Eberspaecher ,supplier,privately owned family business that is an international automotive supplier with 80 locations in 28 countries. ,the company shut down all networks and servers. Some of the data had already been tapped and encrypted. Employees could not be reached by phone or email for weeks.,Not communicated,No,Oct-21,Germany,BlackMatter,https://cybelangel.com/dark-web-spotlight-eberspacher-group-ransomware-attack/
Seneca Family of Agencies ,services provider,partnering with universities to provide fieldwork placements for students. ,"impacted 2,347 clients, data included date of birth, Social Security number, address, phone number, email address, medical record number, treatment/ diagnosis information, health insurance information, prescription information, driver’s license/state identification number, and digital signature.",Not communicated,Not communicated,Oct-21,USA,Not communicated,https://www.databreaches.net/seneca-family-of-agencies-discloses-breach-personal-and-medical-data/
Blue Shield of California ,healthcare,a mutual benefit corporation and health plan founded in 1939 by the California Medical Association,"impacted 2,858 Blue Shield members’ information, including names and one or more of the following: health insurance information, health plan member ID number, date of birth, email addresses, phone numbers and physical addresses.",Not communicated,Not communicated,Oct-21,USA,Not communicated,https://www.databreaches.net/blue-shield-of-california-insurance-broker-victim-of-ransomware-attack/
"Professional Healthcare Management, Inc.",healthcare,management company that manages five healthcare entities ," health and personal information involved contained first and last name, social security number, health insurance information (Medicaid number, Medicare number and insurance identification number), prescription name(s) and diagnosis code(s). ",Not communicated,Not communicated,Oct-21,USA,Not communicated,https://www.businesswire.com/news/home/20211029005355/en/Professional-Healthcare-Management-Notifies-Stakeholders-of-Data-Security-Incident
MediaMarkt,retail,electronics retail giant ,shutdown of the IT systems and disrupted retail operations in the Netherlands and Germany.,$240 million,Not communicated,Nov-21,Germany,Hive ,https://www.bleepingcomputer.com/news/security/mediamarkt-hit-by-hive-ransomware-initial-240-million-ransom/
"Robinhood Markets, Inc",finance,financial services company ,"data breach that affected around 7 million people, obtained email addresses for around 5 million people as well as full names and personal data including names, birth dates and ZIP codes was exposed",Not communicated,Not communicated,Nov-21,USA,Not communicated,https://blog.robinhood.com/news/2021/11/8/data-security-incident
Medatixx,Technology ,"medical software vendor whose products are used in over 21,000 health institutions",not yet confirmed if any data was exfiltrated during the attack ,Not communicated,Not communicated,Nov-21,Germany,Not communicated,https://www.bleepingcomputer.com/news/security/medical-software-firm-urges-password-resets-after-ransomware-attack/
Diamond Comic Distributors,supplier ,comic book supply chain,comic book shops’ data and financial information was not stored on the affected systems and had not been compromised.,Not communicated,Not communicated,Nov-21,USA,Not communicated,https://www.gamesradar.com/diamond-comics-distributors-ransomware-attacks/
"Madix, Inc",manufacturer,manufacturer of store fixtures ,was forced to disable its computers and halt production due to a ransomware attack. Hundreds of employees across two Alabama manufacturing plants were sent home without any specified date of return following the incident which occurred over a weekend.,Not communicated,Not communicated,Nov-21,USA,Not communicated,https://www.newsbreak.com/news/2435633463049/ransomware-attack-at-alabama-manufacturing-plants-send-hundreds-of-employees-home-with-no-specified-date-of-return
Stor-A-File ,storage,data storage company ,dumped data belonging to the UK’s National Health Service (NHS) on the Dark Web. The data included highly sensitive medical records which were leaked,£3million ,No,Nov-21,UK,Clop,https://www.leighday.co.uk/our-services/group-claims/stor-a-file-data-breach/
Vestas,manufacturer,wind turbine maker ,"was forced to shut down some of its IT systems, 10 days post attack the company said systems were back up and running",Not communicated,Not communicated,Nov-21,Denmark,Not communicated,https://www.reuters.com/business/energy/hackers-make-some-vestas-data-public-after-ransomware-attack-2021-12-09/
KISTERS AG ,Technology ,"develops software solutions for the sustainable resource management of energy, water and air, for environmental protection and safety, logistics and 3D viewing ","redesigned its systems to ensure the security of its customers going forward, ransomware group published what it claimed to be 5% of the data they had exfiltrated over the course of its attack",Not communicated,Not communicated,Nov-21,Germany,Conti,https://www.databreaches.net/cyber-%E2%80%8B%E2%80%8Battack-on-kisters-ag-by-orchestrated-ransomware-attack/
Lister Fertility Clinic,healthcare,"part of HCA Healthcare UK, provides access to specialist fertility consultations, diagnostics and fertility treatment options.","significant data breach leaked on the dark web which is said to include various pieces of personal information, such as copies of passports, medical histories, test results and fertility treatment records.",Not communicated,Not communicated,Nov-21,UK,Not communicated,https://www.infosecurity-magazine.com/news/ransomwareattack-hits-uk-fertility/
Episcopal Retirement Services ,services provider,offers premier retirement living ,"data compromised could include first and last names, addresses, gender, social security numbers, phone numbers, and dates of birth, medical diagnoses, health care provider name, insurance numbers, and Medicare number.",Not communicated,Not communicated,Nov-21,USA,Not communicated,https://www.businesswire.com/news/home/20211119005437/en/Episcopal-Retirement-Services-Notifies-Patients-and-Residents-of-Data-Security-Incident
Supernus Pharmaceuticals ,healthcare,pharmaceutical company focused on developing and commercializing products for the treatment of central nervous system,successfully recovered the 1.5 terabytes of data impacted and has taken additional steps designed to further protect its networks and files.,Not communicated,No,Nov-21,USA,Hive,https://www.securityweek.com/ransomware-operators-threaten-leak-15tb-supernus-pharmaceuticals-data
Medsurant Health ,healthcare,provides professional and affordable intraoperative services for hospitals and physicians,"45,000 Individuals Affected by the attack, sensitive data had been accessed and exfiltrated from its systems such as full names, addresses, diagnoses, medical conditions, dates of birth, claims information, and Social Security numbers.",Not communicated,Not communicated,Nov-21,USA,Not communicated,https://www.databreaches.net/medsurant-health-discloses-ransomware-incident-but-not-yet-notifying-patients/
Abiom,Technology ,technology firm that handles sensitive documents for Dutch police and emergency services ,"39,000 documents including ID and invoices to be leaked online.",Not communicated,No,Dec-21,Netherlands,LockBit ,https://nltimes.nl/2021/12/06/dutch-military-police-tech-supplier-hacked-confidential-info-online
Nordic Choice Hotels ,facilities,"Scandinavian hotel chain has over 200 properties and includes brands such as Comfort, Quality, and Clarion and employs over 16,000 people","The incident left hotel staff without access to reservation systems causing issues at check-in and check-out, whilst guests also found themselves locked out of their rooms. ",Not communicated,No,Dec-21,Norway,Conti,https://www.bitdefender.co.uk/blog/hotforsecurity/nordic-choice-hotels-confirm-ransomware-attack/
SPAR,food & beverage,supermarket chain,Some stores were forced to close while others managed to operate by switching to cash only. A spokesperson explained that the ransomware attack had impacted all of the company’s IT systems and left staff without access to email,Not communicated,Not communicated,Dec-21,Netherlands,Vice Society,https://techmonitor.ai/technology/cybersecurity/vice-society-spar-hack-ransomware
Atalanta,food & beverage,food importer ,current and former employee data was accessed ,"$50,000 in Bitcoin",Not communicated,Dec-21,USA,Not communicated,https://www.wired.com/story/atlanta-spent-26m-recover-from-ransomware-scare/
Volvo,manufacturer,Car manufacturing firm ,"a limited amount of the company’s R&D property has been stolen during the intrusion and based on information available, there may be an impact on the company’s operations.",Not communicated,Not communicated,Dec-21,Sweden,Not communicated,https://www.politico.eu/article/volvo-cars-suffered-cyberattack/
Hellmann Worldwide Logistics,logistics,"a billion-dollar company that operates in 173 countries and offers logistics services for rail, sea freight, air freight, and road transportation",,Not communicated,Not communicated,Dec-21,USA,RansomEXX ,https://www.zdnet.com/article/after-ransomware-attack-global-logistics-firm-hellmann-warns-of-scam-calls-and-mail/
Asurion,Technology ,"tech support firm, employee posing as an anonymous ransomware hacker after he was fired","data stolen included employee social security numbers, banking information, names and addresses","$300,000 ",Yes,Dec-21,USA,Ex employee,https://eu.tennessean.com/story/news/2019/08/13/asurion-nashville-paid-ransom-after-private-data-identity-theft-fbi-says/1986310001/
Kronos,Technology ,multinational workforce management and human capital management cloud provider ,information from several high profile customers leaked,Not communicated,Yes,Dec-21,USA,Not communicated,https://www.nbcboston.com/news/local/nurses-demand-accurate-pay-one-month-after-ransomware-attack/2617361/
Superior Plus ,Oil/Gas,"billion-dollar company that provides propane to 780,000 customer locations across the US and Canada",did not answer which systems were affected.,Not communicated,Not communicated,Dec-21,USA,Not communicated,https://www.cpomagazine.com/cyber-security/natural-gas-supplier-superior-plus-suffers-a-ransomware-attack-similar-to-colonial-pipelines/
McMenamins,hospitality,hotel and brew pub chain ,many of its IT systems inoperable and exfiltrated personal employee data going as far back as 1998.,Not communicated,Not communicated,Dec-21,USA,Conti,https://threatpost.com/conti-gang-ransomware-attack-mcmenamins/177119/
Dial-a-Bus ,services provider,offers accessible transport for people of all ages and abilities ,restrcited access to certain files,"£1,000 in bitcoin",Not communicated,Dec-21,UK,Not communicated,https://www.thetimes.co.uk/article/orkney-minibus-service-for-disabled-targeted-by-international-ransomware-hackers-hp5gx5zxg
Inetum Group,Technology ,services company who is active in more than 26 countries ,"affected some of its operations in France but did not spread to larger infrastructures used by customers, ransom demands range from a few hundreds of thousands up to $3 worth of Bitcoin or Monero",Hundreds of thousands - $3 Bitcoin,Not communicated,Dec-21,France,BlackCat,https://securityaffairs.co/wordpress/126022/cyber-crime/inetum-hit-by-blackcat-ransomware.html
CompuGroup,Technology ,Medical software company ,impacted their internal services including phones and email,Not communicated,Not communicated,Dec-21,Germany,Not communicated,https://borncity.com/win/2021/12/21/cyberangriffe-auf-compugroup-medical-se-co-kgaa/
Shutterfly,entertainment ,photography company ,"thousands of devices” encrypted and corporate data stolen, exfiltrated data which included legal agreements, bank and merchant account info, login credentials for corporate services, spreadsheets, and “what appears to be customer information, including the last four digits of credit cards”.",Unknown in millions,Not communicated,Dec-21,USA,Conti,https://www.cybertalk.org/2021/12/28/shutterfly-breach-attackers-demand-millions-in-ransom/
Amedia,media,publishes more than 70 newspapers for 2 million readers,attack on the IT systems forced the company to disable its presses,Not communicated,No,Dec-21,Norway,Not communicated,https://www.cpomagazine.com/cyber-security/norwegian-media-company-amedia-suffered-a-serious-cyber-attack-that-left-newspapers-unprinted/
Delta-Montrose Electric association,energy,Electric utility company,wiped out two decades' worth of records and knocked billing systems for almost a month after the attack.,Not communicated,Not communicated,Dec-21,USA ,Not communicated,https://www.theregister.com/2021/12/03/dmea_colorado_cyber_attack_billing_systems/
TriHealth ,healthcare,TriHealth data was included in a criminal ransomware attack on Bricker’s email server,theft of personally identifiable and protected health information belonging to a select group of TriHealth employees and patients. ,Not communicated,Not communicated,Apr-21,USA,Not communicated,https://www.trihealth.com/dailyhealthwire/news/trihealth-confirms-third-party-data-breach
